Starting protocol generation for liver_organoids with prompt b8f1010cfd96694f172266a628361ccb... using model llama3.1:8b
Generating protocol 1 for model llama3.1:8b
**Liver Organoid Generation Protocol from H9 hESC**

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp (°C) | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 + LIF (4 ng/mL) | 0 RPM | 6-well plate, 9.5 cm²/well | none | 37°C | 7.4 | 20% |
| 1   | mTeSR1 + Activin A (100 ng/mL) | 50 RPM | 6-well plate, 9.5 cm²/well | BMP4 (25 ng/mL), VEGF (10 ng/mL) | 37°C | 7.3 | 18% |
| 2   | mTeSR1 + Activin A (100 ng/mL) | 50 RPM | 6-well plate, 9.5 cm²/well | GSK3 inhibitor (5 μM), SB431542 (10 μM) | 37°C | 7.2 | 16% |
| 3   | mTeSR1 + Activin A (100 ng/mL) | 50 RPM | 6-well plate, 9.5 cm²/well | none | 36.5°C | 7.1 | 14% |
| 4   | E8 medium | 0 RPM | 24-well plate, 2 cm²/well | FGF4 (50 ng/mL), KGF (20 ng/mL) | 37°C | 7.3 | 18% |
| 5   | E8 medium + CHIR99021 (3 μM) | 30 RPM | 24-well plate, 2 cm²/well | PDGFB (50 ng/mL), IGF1 (20 ng/mL) | 37°C | 7.2 | 16% |
| 6   | E8 medium + CHIR99021 (3 μM) | 30 RPM | 24-well plate, 2 cm²/well | BMP4 (25 ng/mL), VEGF (10 ng/mL) | 36.5°C | 7.1 | 14% |
| 7   | E8 medium + Y27632 (10 μM) | 30 RPM | 24-well plate, 2 cm²/well | none | 37°C | 7.3 | 18% |
| 8   | E6 medium | 0 RPM | 12-well plate, 1 cm²/well | Wnt3a (200 ng/mL), Noggin (100 ng/mL) | 36.5°C | 7.2 | 16% |
| 9   | E6 medium + CHIR99021 (3 μM) | 20 RPM | 12-well plate, 1 cm²/well | Activin A (50 ng/mL), FGF4 (25 ng/mL) | 37°C | 7.1 | 14% |
